tag,example_inputs_en,example_inputs_es,possible_responses_en,possible_responses_es
accounting,How do I contact Accounting? | What does the Accounting do? | Accounting hours,¿Cómo me comunico con Accounting? | ¿Qué hace el Accounting? | ¿Cuál es el horario de atención del Accounting?,You can contact Accounting at... | The Accounting is responsible for... | Here are the office hours for Accounting...,Puede comunicarse con Accounting en... | El Accounting es responsable de... | El horario de atención del Accounting es...
clerk_and_master,How do I contact Clerk And Master? | What does the Clerk And Master do? | Clerk And Master hours,¿Cómo me comunico con Clerk And Master? | ¿Qué hace el Clerk And Master? | ¿Cuál es el horario de atención del Clerk And Master?,You can contact Clerk And Master at... | The Clerk And Master is responsible for... | Here are the office hours for Clerk And Master...,Puede comunicarse con Clerk And Master en... | El Clerk And Master es responsable de... | El horario de atención del Clerk And Master es...
community_and_economic_development_department,How do I contact Community and Economic Development Department? | What does the Community and Economic Development Department do? | Community and Economic Development Department hours,¿Cómo me comunico con Community And Economic Development Department? | ¿Qué hace el Community And Economic Development Department? | ¿Cuál es el horario de atención del Community And Economic Development Department?,You can contact Community and Economic Development Department at... | The Community and Economic Development Department is responsible for... | Here are the office hours for Community and Economic Development Department...,Puede comunicarse con Community And Economic Development Department en... | El Community And Economic Development Department es responsable de... | El horario de atención del Community And Economic Development Department es...
county_attorney,How do I contact County Attorney? | What does the County Attorney do? | County Attorney hours,¿Cómo me comunico con County Attorney? | ¿Qué hace el County Attorney? | ¿Cuál es el horario de atención del County Attorney?,You can contact County Attorney at... | The County Attorney is responsible for... | Here are the office hours for County Attorney...,Puede comunicarse con County Attorney en... | El County Attorney es responsable de... | El horario de atención del County Attorney es...
county_auditor's_office,How do I contact County Auditor's Office? | What does the County Auditor's Office do? | County Auditor's Office hours,¿Cómo me comunico con County Auditor'S Office? | ¿Qué hace el County Auditor'S Office? | ¿Cuál es el horario de atención del County Auditor'S Office?,You can contact County Auditor's Office at... | The County Auditor's Office is responsible for... | Here are the office hours for County Auditor's Office...,Puede comunicarse con County Auditor'S Office en... | El County Auditor'S Office es responsable de... | El horario de atención del County Auditor'S Office es...
county_clerk,How do I contact County Clerk? | What does the County Clerk do? | County Clerk hours,¿Cómo me comunico con County Clerk? | ¿Qué hace el County Clerk? | ¿Cuál es el horario de atención del County Clerk?,You can contact County Clerk at... | The County Clerk is responsible for... | Here are the office hours for County Clerk...,Puede comunicarse con County Clerk en... | El County Clerk es responsable de... | El horario de atención del County Clerk es...
county_commission,How do I contact County Commission? | What does the County Commission do? | County Commission hours,¿Cómo me comunico con County Commission? | ¿Qué hace el County Commission? | ¿Cuál es el horario de atención del County Commission?,You can contact County Commission at... | The County Commission is responsible for... | Here are the office hours for County Commission...,Puede comunicarse con County Commission en... | El County Commission es responsable de... | El horario de atención del County Commission es...
county_mayor,How do I contact County Mayor? | What does the County Mayor do? | County Mayor hours,¿Cómo me comunico con County Mayor? | ¿Qué hace el County Mayor? | ¿Cuál es el horario de atención del County Mayor?,You can contact County Mayor at... | The County Mayor is responsible for... | Here are the office hours for County Mayor...,Puede comunicarse con County Mayor en... | El County Mayor es responsable de... | El horario de atención del County Mayor es...
criminal_court_clerk,How do I contact Criminal Court Clerk? | What does the Criminal Court Clerk do? | Criminal Court Clerk hours,¿Cómo me comunico con Criminal Court Clerk? | ¿Qué hace el Criminal Court Clerk? | ¿Cuál es el horario de atención del Criminal Court Clerk?,You can contact Criminal Court Clerk at... | The Criminal Court Clerk is responsible for... | Here are the office hours for Criminal Court Clerk...,Puede comunicarse con Criminal Court Clerk en... | El Criminal Court Clerk es responsable de... | El horario de atención del Criminal Court Clerk es...
criminal_court_clerk_expungement_center,How do I contact Criminal Court Clerk Expungement Center? | What does the Criminal Court Clerk Expungement Center do? | Criminal Court Clerk Expungement Center hours,¿Cómo me comunico con Criminal Court Clerk Expungement Center? | ¿Qué hace el Criminal Court Clerk Expungement Center? | ¿Cuál es el horario de atención del Criminal Court Clerk Expungement Center?,You can contact Criminal Court Clerk Expungement Center at... | The Criminal Court Clerk Expungement Center is responsible for... | Here are the office hours for Criminal Court Clerk Expungement Center...,Puede comunicarse con Criminal Court Clerk Expungement Center en... | El Criminal Court Clerk Expungement Center es responsable de... | El horario de atención del Criminal Court Clerk Expungement Center es...
criminal_court_clerk_payment_center,How do I contact Criminal Court Clerk Payment Center? | What does the Criminal Court Clerk Payment Center do? | Criminal Court Clerk Payment Center hours,¿Cómo me comunico con Criminal Court Clerk Payment Center? | ¿Qué hace el Criminal Court Clerk Payment Center? | ¿Cuál es el horario de atención del Criminal Court Clerk Payment Center?,You can contact Criminal Court Clerk Payment Center at... | The Criminal Court Clerk Payment Center is responsible for... | Here are the office hours for Criminal Court Clerk Payment Center...,Puede comunicarse con Criminal Court Clerk Payment Center en... | El Criminal Court Clerk Payment Center es responsable de... | El horario de atención del Criminal Court Clerk Payment Center es...
criminal_court_judges,How do I contact Criminal Court Judges? | What does the Criminal Court Judges do? | Criminal Court Judges hours,¿Cómo me comunico con Criminal Court Judges? | ¿Qué hace el Criminal Court Judges? | ¿Cuál es el horario de atención del Criminal Court Judges?,You can contact Criminal Court Judges at... | The Criminal Court Judges is responsible for... | Here are the office hours for Criminal Court Judges...,Puede comunicarse con Criminal Court Judges en... | El Criminal Court Judges es responsable de... | El horario de atención del Criminal Court Judges es...
development_department,How do I contact Development Department? | What does the Development Department do? | Development Department hours,¿Cómo me comunico con Development Department? | ¿Qué hace el Development Department? | ¿Cuál es el horario de atención del Development Department?,You can contact Development Department at... | The Development Department is responsible for... | Here are the office hours for Development Department...,Puede comunicarse con Development Department en... | El Development Department es responsable de... | El horario de atención del Development Department es...
development_services,How do I contact Development Services? | What does the Development Services do? | Development Services hours,¿Cómo me comunico con Development Services? | ¿Qué hace el Development Services? | ¿Cuál es el horario de atención del Development Services?,You can contact Development Services at... | The Development Services is responsible for... | Here are the office hours for Development Services...,Puede comunicarse con Development Services en... | El Development Services es responsable de... | El horario de atención del Development Services es...
district_attorney_general,How do I contact District Attorney General? | What does the District Attorney General do? | District Attorney General hours,¿Cómo me comunico con District Attorney General? | ¿Qué hace el District Attorney General? | ¿Cuál es el horario de atención del District Attorney General?,You can contact District Attorney General at... | The District Attorney General is responsible for... | Here are the office hours for District Attorney General...,Puede comunicarse con District Attorney General en... | El District Attorney General es responsable de... | El horario de atención del District Attorney General es...
drug_recovery_court,How do I contact Drug Recovery Court? | What does the Drug Recovery Court do? | Drug Recovery Court hours,¿Cómo me comunico con Drug Recovery Court? | ¿Qué hace el Drug Recovery Court? | ¿Cuál es el horario de atención del Drug Recovery Court?,You can contact Drug Recovery Court at... | The Drug Recovery Court is responsible for... | Here are the office hours for Drug Recovery Court...,Puede comunicarse con Drug Recovery Court en... | El Drug Recovery Court es responsable de... | El horario de atención del Drug Recovery Court es...
education_department,How do I contact Education Department? | What does the Education Department do? | Education Department hours,¿Cómo me comunico con Education Department? | ¿Qué hace el Education Department? | ¿Cuál es el horario de atención del Education Department?,You can contact Education Department at... | The Education Department is responsible for... | Here are the office hours for Education Department...,Puede comunicarse con Education Department en... | El Education Department es responsable de... | El horario de atención del Education Department es...
election_commission,How do I contact Election Commission? | What does the Election Commission do? | Election Commission hours,¿Cómo me comunico con Election Commission? | ¿Qué hace el Election Commission? | ¿Cuál es el horario de atención del Election Commission?,You can contact Election Commission at... | The Election Commission is responsible for... | Here are the office hours for Election Commission...,Puede comunicarse con Election Commission en... | El Election Commission es responsable de... | El horario de atención del Election Commission es...
emergency_management_and_homeland_security,How do I contact Emergency Management and Homeland Security? | What does the Emergency Management and Homeland Security do? | Emergency Management and Homeland Security hours,¿Cómo me comunico con Emergency Management And Homeland Security? | ¿Qué hace el Emergency Management And Homeland Security? | ¿Cuál es el horario de atención del Emergency Management And Homeland Security?,You can contact Emergency Management and Homeland Security at... | The Emergency Management and Homeland Security is responsible for... | Here are the office hours for Emergency Management and Homeland Security...,Puede comunicarse con Emergency Management And Homeland Security en... | El Emergency Management And Homeland Security es responsable de... | El horario de atención del Emergency Management And Homeland Security es...
emergency_medical_services_(ems),How do I contact Emergency Medical Services (EMS)? | What does the Emergency Medical Services (EMS) do? | Emergency Medical Services (EMS) hours,¿Cómo me comunico con Emergency Medical Services (Ems)? | ¿Qué hace el Emergency Medical Services (Ems)? | ¿Cuál es el horario de atención del Emergency Medical Services (Ems)?,You can contact Emergency Medical Services (EMS) at... | The Emergency Medical Services (EMS) is responsible for... | Here are the office hours for Emergency Medical Services (EMS)...,Puede comunicarse con Emergency Medical Services (Ems) en... | El Emergency Medical Services (Ems) es responsable de... | El horario de atención del Emergency Medical Services (Ems) es...
engineering_department,How do I contact Engineering Department? | What does the Engineering Department do? | Engineering Department hours,¿Cómo me comunico con Engineering Department? | ¿Qué hace el Engineering Department? | ¿Cuál es el horario de atención del Engineering Department?,You can contact Engineering Department at... | The Engineering Department is responsible for... | Here are the office hours for Engineering Department...,Puede comunicarse con Engineering Department en... | El Engineering Department es responsable de... | El horario de atención del Engineering Department es...
enterprise_south_nature_park,How do I contact Enterprise South Nature Park? | What does the Enterprise South Nature Park do? | Enterprise South Nature Park hours,¿Cómo me comunico con Enterprise South Nature Park? | ¿Qué hace el Enterprise South Nature Park? | ¿Cuál es el horario de atención del Enterprise South Nature Park?,You can contact Enterprise South Nature Park at... | The Enterprise South Nature Park is responsible for... | Here are the office hours for Enterprise South Nature Park...,Puede comunicarse con Enterprise South Nature Park en... | El Enterprise South Nature Park es responsable de... | El horario de atención del Enterprise South Nature Park es...
equal_employment_opportunity_(eeo),How do I contact Equal Employment Opportunity (EEO)? | What does the Equal Employment Opportunity (EEO) do? | Equal Employment Opportunity (EEO) hours,¿Cómo me comunico con Equal Employment Opportunity (Eeo)? | ¿Qué hace el Equal Employment Opportunity (Eeo)? | ¿Cuál es el horario de atención del Equal Employment Opportunity (Eeo)?,You can contact Equal Employment Opportunity (EEO) at... | The Equal Employment Opportunity (EEO) is responsible for... | Here are the office hours for Equal Employment Opportunity (EEO)...,Puede comunicarse con Equal Employment Opportunity (Eeo) en... | El Equal Employment Opportunity (Eeo) es responsable de... | El horario de atención del Equal Employment Opportunity (Eeo) es...
facilities_maintenance_department,How do I contact Facilities Maintenance Department? | What does the Facilities Maintenance Department do? | Facilities Maintenance Department hours,¿Cómo me comunico con Facilities Maintenance Department? | ¿Qué hace el Facilities Maintenance Department? | ¿Cuál es el horario de atención del Facilities Maintenance Department?,You can contact Facilities Maintenance Department at... | The Facilities Maintenance Department is responsible for... | Here are the office hours for Facilities Maintenance Department...,Puede comunicarse con Facilities Maintenance Department en... | El Facilities Maintenance Department es responsable de... | El horario de atención del Facilities Maintenance Department es...
finance_division,How do I contact Finance Division? | What does the Finance Division do? | Finance Division hours,¿Cómo me comunico con Finance Division? | ¿Qué hace el Finance Division? | ¿Cuál es el horario de atención del Finance Division?,You can contact Finance Division at... | The Finance Division is responsible for... | Here are the office hours for Finance Division...,Puede comunicarse con Finance Division en... | El Finance Division es responsable de... | El horario de atención del Finance Division es...
financial_management,How do I contact Financial Management? | What does the Financial Management do? | Financial Management hours,¿Cómo me comunico con Financial Management? | ¿Qué hace el Financial Management? | ¿Cuál es el horario de atención del Financial Management?,You can contact Financial Management at... | The Financial Management is responsible for... | Here are the office hours for Financial Management...,Puede comunicarse con Financial Management en... | El Financial Management es responsable de... | El horario de atención del Financial Management es...
general_services_division,How do I contact General Services Division? | What does the General Services Division do? | General Services Division hours,¿Cómo me comunico con General Services Division? | ¿Qué hace el General Services Division? | ¿Cuál es el horario de atención del General Services Division?,You can contact General Services Division at... | The General Services Division is responsible for... | Here are the office hours for General Services Division...,Puede comunicarse con General Services Division en... | El General Services Division es responsable de... | El horario de atención del General Services Division es...
general_sessions_criminal_clerk,How do I contact General Sessions Criminal Clerk? | What does the General Sessions Criminal Clerk do? | General Sessions Criminal Clerk hours,¿Cómo me comunico con General Sessions Criminal Clerk? | ¿Qué hace el General Sessions Criminal Clerk? | ¿Cuál es el horario de atención del General Sessions Criminal Clerk?,You can contact General Sessions Criminal Clerk at... | The General Sessions Criminal Clerk is responsible for... | Here are the office hours for General Sessions Criminal Clerk...,Puede comunicarse con General Sessions Criminal Clerk en... | El General Sessions Criminal Clerk es responsable de... | El horario de atención del General Sessions Criminal Clerk es...
geospatial_technology,How do I contact Geospatial Technology? | What does the Geospatial Technology do? | Geospatial Technology hours,¿Cómo me comunico con Geospatial Technology? | ¿Qué hace el Geospatial Technology? | ¿Cuál es el horario de atención del Geospatial Technology?,You can contact Geospatial Technology at... | The Geospatial Technology is responsible for... | Here are the office hours for Geospatial Technology...,Puede comunicarse con Geospatial Technology en... | El Geospatial Technology es responsable de... | El horario de atención del Geospatial Technology es...
ground_water,How do I contact Ground Water? | What does the Ground Water do? | Ground Water hours,¿Cómo me comunico con Ground Water? | ¿Qué hace el Ground Water? | ¿Cuál es el horario de atención del Ground Water?,You can contact Ground Water at... | The Ground Water is responsible for... | Here are the office hours for Ground Water...,Puede comunicarse con Ground Water en... | El Ground Water es responsable de... | El horario de atención del Ground Water es...
health_department,How do I contact Health Department? | What does the Health Department do? | Health Department hours,¿Cómo me comunico con Health Department? | ¿Qué hace el Health Department? | ¿Cuál es el horario de atención del Health Department?,You can contact Health Department at... | The Health Department is responsible for... | Here are the office hours for Health Department...,Puede comunicarse con Health Department en... | El Health Department es responsable de... | El horario de atención del Health Department es...
highway_department,How do I contact Highway Department? | What does the Highway Department do? | Highway Department hours,¿Cómo me comunico con Highway Department? | ¿Qué hace el Highway Department? | ¿Cuál es el horario de atención del Highway Department?,You can contact Highway Department at... | The Highway Department is responsible for... | Here are the office hours for Highway Department...,Puede comunicarse con Highway Department en... | El Highway Department es responsable de... | El horario de atención del Highway Department es...
human_resources_division,How do I contact Human Resources Division? | What does the Human Resources Division do? | Human Resources Division hours,¿Cómo me comunico con Human Resources Division? | ¿Qué hace el Human Resources Division? | ¿Cuál es el horario de atención del Human Resources Division?,You can contact Human Resources Division at... | The Human Resources Division is responsible for... | Here are the office hours for Human Resources Division...,Puede comunicarse con Human Resources Division en... | El Human Resources Division es responsable de... | El horario de atención del Human Resources Division es...
information_technology_department_(it),How do I contact Information Technology Department (IT)? | What does the Information Technology Department (IT) do? | Information Technology Department (IT) hours,¿Cómo me comunico con Information Technology Department (It)? | ¿Qué hace el Information Technology Department (It)? | ¿Cuál es el horario de atención del Information Technology Department (It)?,You can contact Information Technology Department (IT) at... | The Information Technology Department (IT) is responsible for... | Here are the office hours for Information Technology Department (IT)...,Puede comunicarse con Information Technology Department (It) en... | El Information Technology Department (It) es responsable de... | El horario de atención del Information Technology Department (It) es...
judicial_commission_magistrates,How do I contact Judicial Commission Magistrates? | What does the Judicial Commission Magistrates do? | Judicial Commission Magistrates hours,¿Cómo me comunico con Judicial Commission Magistrates? | ¿Qué hace el Judicial Commission Magistrates? | ¿Cuál es el horario de atención del Judicial Commission Magistrates?,You can contact Judicial Commission Magistrates at... | The Judicial Commission Magistrates is responsible for... | Here are the office hours for Judicial Commission Magistrates...,Puede comunicarse con Judicial Commission Magistrates en... | El Judicial Commission Magistrates es responsable de... | El horario de atención del Judicial Commission Magistrates es...
juvenile_court,How do I contact Juvenile Court? | What does the Juvenile Court do? | Juvenile Court hours,¿Cómo me comunico con Juvenile Court? | ¿Qué hace el Juvenile Court? | ¿Cuál es el horario de atención del Juvenile Court?,You can contact Juvenile Court at... | The Juvenile Court is responsible for... | Here are the office hours for Juvenile Court...,Puede comunicarse con Juvenile Court en... | El Juvenile Court es responsable de... | El horario de atención del Juvenile Court es...
juvenile_court_clerk,How do I contact Juvenile Court Clerk? | What does the Juvenile Court Clerk do? | Juvenile Court Clerk hours,¿Cómo me comunico con Juvenile Court Clerk? | ¿Qué hace el Juvenile Court Clerk? | ¿Cuál es el horario de atención del Juvenile Court Clerk?,You can contact Juvenile Court Clerk at... | The Juvenile Court Clerk is responsible for... | Here are the office hours for Juvenile Court Clerk...,Puede comunicarse con Juvenile Court Clerk en... | El Juvenile Court Clerk es responsable de... | El horario de atención del Juvenile Court Clerk es...
child_support_division,How do I contact Child Support Division? | What does the Child Support Division do? | Child Support Division hours,¿Cómo me comunico con Child Support Division? | ¿Qué hace el Child Support Division? | ¿Cuál es el horario de atención del Child Support Division?,You can contact Child Support Division at... | The Child Support Division is responsible for... | Here are the office hours for Child Support Division...,Puede comunicarse con Child Support Division en... | El Child Support Division es responsable de... | El horario de atención del Child Support Division es...
local_emergency_planning_committee_(lepc),How do I contact Local Emergency Planning Committee (LEPC)? | What does the Local Emergency Planning Committee (LEPC) do? | Local Emergency Planning Committee (LEPC) hours,¿Cómo me comunico con Local Emergency Planning Committee (Lepc)? | ¿Qué hace el Local Emergency Planning Committee (Lepc)? | ¿Cuál es el horario de atención del Local Emergency Planning Committee (Lepc)?,You can contact Local Emergency Planning Committee (LEPC) at... | The Local Emergency Planning Committee (LEPC) is responsible for... | Here are the office hours for Local Emergency Planning Committee (LEPC)...,Puede comunicarse con Local Emergency Planning Committee (Lepc) en... | El Local Emergency Planning Committee (Lepc) es responsable de... | El horario de atención del Local Emergency Planning Committee (Lepc) es...
magistrates_-_judicial_commission,How do I contact Magistrates - Judicial Commission? | What does the Magistrates - Judicial Commission do? | Magistrates - Judicial Commission hours,¿Cómo me comunico con Magistrates - Judicial Commission? | ¿Qué hace el Magistrates - Judicial Commission? | ¿Cuál es el horario de atención del Magistrates - Judicial Commission?,You can contact Magistrates - Judicial Commission at... | The Magistrates - Judicial Commission is responsible for... | Here are the office hours for Magistrates - Judicial Commission...,Puede comunicarse con Magistrates - Judicial Commission en... | El Magistrates - Judicial Commission es responsable de... | El horario de atención del Magistrates - Judicial Commission es...
mayor,How do I contact Mayor? | What does the Mayor do? | Mayor hours,¿Cómo me comunico con Mayor? | ¿Qué hace el Mayor? | ¿Cuál es el horario de atención del Mayor?,You can contact Mayor at... | The Mayor is responsible for... | Here are the office hours for Mayor...,Puede comunicarse con Mayor en... | El Mayor es responsable de... | El horario de atención del Mayor es...
medical_examiner,How do I contact Medical Examiner? | What does the Medical Examiner do? | Medical Examiner hours,¿Cómo me comunico con Medical Examiner? | ¿Qué hace el Medical Examiner? | ¿Cuál es el horario de atención del Medical Examiner?,You can contact Medical Examiner at... | The Medical Examiner is responsible for... | Here are the office hours for Medical Examiner...,Puede comunicarse con Medical Examiner en... | El Medical Examiner es responsable de... | El horario de atención del Medical Examiner es...
mental_health_court,How do I contact Mental Health Court? | What does the Mental Health Court do? | Mental Health Court hours,¿Cómo me comunico con Mental Health Court? | ¿Qué hace el Mental Health Court? | ¿Cuál es el horario de atención del Mental Health Court?,You can contact Mental Health Court at... | The Mental Health Court is responsible for... | Here are the office hours for Mental Health Court...,Puede comunicarse con Mental Health Court en... | El Mental Health Court es responsable de... | El horario de atención del Mental Health Court es...
parks_and_recreation,How do I contact Parks And Recreation? | What does the Parks And Recreation do? | Parks And Recreation hours,¿Cómo me comunico con Parks And Recreation? | ¿Qué hace el Parks And Recreation? | ¿Cuál es el horario de atención del Parks And Recreation?,You can contact Parks And Recreation at... | The Parks And Recreation is responsible for... | Here are the office hours for Parks And Recreation...,Puede comunicarse con Parks And Recreation en... | El Parks And Recreation es responsable de... | El horario de atención del Parks And Recreation es...
procurement_and_fleet_management_department,How do I contact Procurement And Fleet Management Department? | What does the Procurement And Fleet Management Department do? | Procurement And Fleet Management Department hours,¿Cómo me comunico con Procurement And Fleet Management Department? | ¿Qué hace el Procurement And Fleet Management Department? | ¿Cuál es el horario de atención del Procurement And Fleet Management Department?,You can contact Procurement And Fleet Management Department at... | The Procurement And Fleet Management Department is responsible for... | Here are the office hours for Procurement And Fleet Management Department...,Puede comunicarse con Procurement And Fleet Management Department en... | El Procurement And Fleet Management Department es responsable de... | El horario de atención del Procurement And Fleet Management Department es...
public_defender,How do I contact Public Defender? | What does the Public Defender do? | Public Defender hours,¿Cómo me comunico con Public Defender? | ¿Qué hace el Public Defender? | ¿Cuál es el horario de atención del Public Defender?,You can contact Public Defender at... | The Public Defender is responsible for... | Here are the office hours for Public Defender...,Puede comunicarse con Public Defender en... | El Public Defender es responsable de... | El horario de atención del Public Defender es...
public_works_division,How do I contact Public Works Division? | What does the Public Works Division do? | Public Works Division hours,¿Cómo me comunico con Public Works Division? | ¿Qué hace el Public Works Division? | ¿Cuál es el horario de atención del Public Works Division?,You can contact Public Works Division at... | The Public Works Division is responsible for... | Here are the office hours for Public Works Division...,Puede comunicarse con Public Works Division en... | El Public Works Division es responsable de... | El horario de atención del Public Works Division es...
read_20_program,How do I contact Read 20 Program? | What does the Read 20 Program do? | Read 20 Program hours,¿Cómo me comunico con Read 20 Program? | ¿Qué hace el Read 20 Program? | ¿Cuál es el horario de atención del Read 20 Program?,You can contact Read 20 Program at... | The Read 20 Program is responsible for... | Here are the office hours for Read 20 Program...,Puede comunicarse con Read 20 Program en... | El Read 20 Program es responsable de... | El horario de atención del Read 20 Program es...
real_property_office,How do I contact Real Property Office? | What does the Real Property Office do? | Real Property Office hours,¿Cómo me comunico con Real Property Office? | ¿Qué hace el Real Property Office? | ¿Cuál es el horario de atención del Real Property Office?,You can contact Real Property Office at... | The Real Property Office is responsible for... | Here are the office hours for Real Property Office...,Puede comunicarse con Real Property Office en... | El Real Property Office es responsable de... | El horario de atención del Real Property Office es...
records_management,How do I contact Records Management? | What does the Records Management do? | Records Management hours,¿Cómo me comunico con Records Management? | ¿Qué hace el Records Management? | ¿Cuál es el horario de atención del Records Management?,You can contact Records Management at... | The Records Management is responsible for... | Here are the office hours for Records Management...,Puede comunicarse con Records Management en... | El Records Management es responsable de... | El horario de atención del Records Management es...
recycling_department,How do I contact Recycling Department? | What does the Recycling Department do? | Recycling Department hours,¿Cómo me comunico con Recycling Department? | ¿Qué hace el Recycling Department? | ¿Cuál es el horario de atención del Recycling Department?,You can contact Recycling Department at... | The Recycling Department is responsible for... | Here are the office hours for Recycling Department...,Puede comunicarse con Recycling Department en... | El Recycling Department es responsable de... | El horario de atención del Recycling Department es...
register_of_deeds,How do I contact Register of Deeds? | What does the Register of Deeds do? | Register of Deeds hours,¿Cómo me comunico con Register Of Deeds? | ¿Qué hace el Register Of Deeds? | ¿Cuál es el horario de atención del Register Of Deeds?,You can contact Register of Deeds at... | The Register of Deeds is responsible for... | Here are the office hours for Register of Deeds...,Puede comunicarse con Register Of Deeds en... | El Register Of Deeds es responsable de... | El horario de atención del Register Of Deeds es...
risk_management_office,How do I contact Risk Management Office? | What does the Risk Management Office do? | Risk Management Office hours,¿Cómo me comunico con Risk Management Office? | ¿Qué hace el Risk Management Office? | ¿Cuál es el horario de atención del Risk Management Office?,You can contact Risk Management Office at... | The Risk Management Office is responsible for... | Here are the office hours for Risk Management Office...,Puede comunicarse con Risk Management Office en... | El Risk Management Office es responsable de... | El horario de atención del Risk Management Office es...
