intent,language,example
county_clerk,es,¿Cómo me comunico con County Clerk?
county_clerk,es,¿Qué hace el County Clerk?
county_clerk,es,¿Cuál es el horario de atención del County Clerk?
county_commission,en,How do I contact County Commission?
county_commission,en,What does the County Commission do?
county_commission,en,County Commission hours
county_commission,es,¿Cómo me comunico con County Commission?
county_commission,es,¿Qué hace el County Commission?
county_commission,es,¿Cuál es el horario de atención del County Commission?
county_mayor,en,How do I contact County Mayor?
county_mayor,en,What does the County Mayor do?
county_mayor,en,County Mayor hours
county_mayor,es,¿Cómo me comunico con County Mayor?
county_mayor,es,¿Qué hace el County Mayor?
county_mayor,es,¿Cuál es el horario de atención del County Mayor?
criminal_court_clerk,en,How do I contact Criminal Court Clerk?
criminal_court_clerk,en,What does the Criminal Court Clerk do?
criminal_court_clerk,en,Criminal Court Clerk hours
criminal_court_clerk,es,¿Cómo me comunico con Criminal Court Clerk?
criminal_court_clerk,es,¿Qué hace el Criminal Court Clerk?
criminal_court_clerk,es,¿Cuál es el horario de atención del Criminal Court Clerk?
criminal_court_clerk_expungement_center,en,How do I contact Criminal Court Clerk Expungement Center?
criminal_court_clerk_expungement_center,en,What does the Criminal Court Clerk Expungement Center do?
criminal_court_clerk_expungement_center,en,Criminal Court Clerk Expungement Center hours
criminal_court_clerk_expungement_center,es,¿Cómo me comunico con Criminal Court Clerk Expungement Center?
criminal_court_clerk_expungement_center,es,¿Qué hace el Criminal Court Clerk Expungement Center?
criminal_court_clerk_expungement_center,es,¿Cuál es el horario de atención del Criminal Court Clerk Expungement Center?
criminal_court_clerk_payment_center,en,How do I contact Criminal Court Clerk Payment Center?
criminal_court_clerk_payment_center,en,What does the Criminal Court Clerk Payment Center do?
criminal_court_clerk_payment_center,en,Criminal Court Clerk Payment Center hours
criminal_court_clerk_payment_center,es,¿Cómo me comunico con Criminal Court Clerk Payment Center?
criminal_court_clerk_payment_center,es,¿Qué hace el Criminal Court Clerk Payment Center?
criminal_court_clerk_payment_center,es,¿Cuál es el horario de atención del Criminal Court Clerk Payment Center?
criminal_court_judges,en,How do I contact Criminal Court Judges?
criminal_court_judges,en,What does the Criminal Court Judges do?
criminal_court_judges,en,Criminal Court Judges hours
criminal_court_judges,es,¿Cómo me comunico con Criminal Court Judges?
criminal_court_judges,es,¿Qué hace el Criminal Court Judges?
criminal_court_judges,es,¿Cuál es el horario de atención del Criminal Court Judges?
development_department,en,How do I contact Development Department?
development_department,en,What does the Development Department do?
development_department,en,Development Department hours
development_department,es,¿Cómo me comunico con Development Department?
development_department,es,¿Qué hace el Development Department?
development_department,es,¿Cuál es el horario de atención del Development Department?
development_services,en,How do I contact Development Services?
development_services,en,What does the Development Services do?
development_services,en,Development Services hours
development_services,es,¿Cómo me comunico con Development Services?
development_services,es,¿Qué hace el Development Services?
development_services,es,¿Cuál es el horario de atención del Development Services?
district_attorney_general,en,How do I contact District Attorney General?
district_attorney_general,en,What does the District Attorney General do?
district_attorney_general,en,District Attorney General hours
district_attorney_general,es,¿Cómo me comunico con District Attorney General?
district_attorney_general,es,¿Qué hace el District Attorney General?
district_attorney_general,es,¿Cuál es el horario de atención del District Attorney General?
drug_recovery_court,en,How do I contact Drug Recovery Court?
drug_recovery_court,en,What does the Drug Recovery Court do?
drug_recovery_court,en,Drug Recovery Court hours
drug_recovery_court,es,¿Cómo me comunico con Drug Recovery Court?
drug_recovery_court,es,¿Qué hace el Drug Recovery Court?
drug_recovery_court,es,¿Cuál es el horario de atención del Drug Recovery Court?
education_department,en,How do I contact Education Department?
education_department,en,What does the Education Department do?
education_department,en,Education Department hours
education_department,es,¿Cómo me comunico con Education Department?
education_department,es,¿Qué hace el Education Department?
education_department,es,¿Cuál es el horario de atención del Education Department?
election_commission,en,How do I contact Election Commission?
election_commission,en,What does the Election Commission do?
election_commission,en,Election Commission hours
election_commission,es,¿Cómo me comunico con Election Commission?
election_commission,es,¿Qué hace el Election Commission?
election_commission,es,¿Cuál es el horario de atención del Election Commission?
emergency_management_and_homeland_security,en,How do I contact Emergency Management and Homeland Security?
emergency_management_and_homeland_security,en,What does the Emergency Management and Homeland Security do?
emergency_management_and_homeland_security,en,Emergency Management and Homeland Security hours
emergency_management_and_homeland_security,es,¿Cómo me comunico con Emergency Management And Homeland Security?
emergency_management_and_homeland_security,es,¿Qué hace el Emergency Management And Homeland Security?
emergency_management_and_homeland_security,es,¿Cuál es el horario de atención del Emergency Management And Homeland Security?
emergency_medical_services_(ems),en,How do I contact Emergency Medical Services (EMS)?
emergency_medical_services_(ems),en,What does the Emergency Medical Services (EMS) do?
emergency_medical_services_(ems),en,Emergency Medical Services (EMS) hours
emergency_medical_services_(ems),es,¿Cómo me comunico con Emergency Medical Services (Ems)?
emergency_medical_services_(ems),es,¿Qué hace el Emergency Medical Services (Ems)?
emergency_medical_services_(ems),es,¿Cuál es el horario de atención del Emergency Medical Services (Ems)?
engineering_department,en,How do I contact Engineering Department?
engineering_department,en,What does the Engineering Department do?
engineering_department,en,Engineering Department hours
engineering_department,es,¿Cómo me comunico con Engineering Department?
engineering_department,es,¿Qué hace el Engineering Department?
engineering_department,es,¿Cuál es el horario de atención del Engineering Department?
enterprise_south_nature_park,en,How do I contact Enterprise South Nature Park?
enterprise_south_nature_park,en,What does the Enterprise South Nature Park do?
enterprise_south_nature_park,en,Enterprise South Nature Park hours
enterprise_south_nature_park,es,¿Cómo me comunico con Enterprise South Nature Park?
enterprise_south_nature_park,es,¿Qué hace el Enterprise South Nature Park?
enterprise_south_nature_park,es,¿Cuál es el horario de atención del Enterprise South Nature Park?
equal_employment_opportunity_(eeo),en,How do I contact Equal Employment Opportunity (EEO)?
equal_employment_opportunity_(eeo),en,What does the Equal Employment Opportunity (EEO) do?
equal_employment_opportunity_(eeo),en,Equal Employment Opportunity (EEO) hours
equal_employment_opportunity_(eeo),es,¿Cómo me comunico con Equal Employment Opportunity (Eeo)?
equal_employment_opportunity_(eeo),es,¿Qué hace el Equal Employment Opportunity (Eeo)?
equal_employment_opportunity_(eeo),es,¿Cuál es el horario de atención del Equal Employment Opportunity (Eeo)?
facilities_maintenance_department,en,How do I contact Facilities Maintenance Department?
facilities_maintenance_department,en,What does the Facilities Maintenance Department do?
facilities_maintenance_department,en,Facilities Maintenance Department hours
facilities_maintenance_department,es,¿Cómo me comunico con Facilities Maintenance Department?
facilities_maintenance_department,es,¿Qué hace el Facilities Maintenance Department?
facilities_maintenance_department,es,¿Cuál es el horario de atención del Facilities Maintenance Department?
finance_division,en,How do I contact Finance Division?
finance_division,en,What does the Finance Division do?
finance_division,en,Finance Division hours
finance_division,es,¿Cómo me comunico con Finance Division?
finance_division,es,¿Qué hace el Finance Division?
finance_division,es,¿Cuál es el horario de atención del Finance Division?
financial_management,en,How do I contact Financial Management?
financial_management,en,What does the Financial Management do?
financial_management,en,Financial Management hours
financial_management,es,¿Cómo me comunico con Financial Management?
financial_management,es,¿Qué hace el Financial Management?
financial_management,es,¿Cuál es el horario de atención del Financial Management?
general_services_division,en,How do I contact General Services Division?
general_services_division,en,What does the General Services Division do?
general_services_division,en,General Services Division hours
general_services_division,es,¿Cómo me comunico con General Services Division?
general_services_division,es,¿Qué hace el General Services Division?
general_services_division,es,¿Cuál es el horario de atención del General Services Division?
general_sessions_criminal_clerk,en,How do I contact General Sessions Criminal Clerk?
general_sessions_criminal_clerk,en,What does the General Sessions Criminal Clerk do?
general_sessions_criminal_clerk,en,General Sessions Criminal Clerk hours
general_sessions_criminal_clerk,es,¿Cómo me comunico con General Sessions Criminal Clerk?
general_sessions_criminal_clerk,es,¿Qué hace el General Sessions Criminal Clerk?
general_sessions_criminal_clerk,es,¿Cuál es el horario de atención del General Sessions Criminal Clerk?
geospatial_technology,en,How do I contact Geospatial Technology?
geospatial_technology,en,What does the Geospatial Technology do?
geospatial_technology,en,Geospatial Technology hours
geospatial_technology,es,¿Cómo me comunico con Geospatial Technology?
geospatial_technology,es,¿Qué hace el Geospatial Technology?
geospatial_technology,es,¿Cuál es el horario de atención del Geospatial Technology?
ground_water,en,How do I contact Ground Water?
ground_water,en,What does the Ground Water do?
ground_water,en,Ground Water hours
ground_water,es,¿Cómo me comunico con Ground Water?
ground_water,es,¿Qué hace el Ground Water?
ground_water,es,¿Cuál es el horario de atención del Ground Water?
health_department,en,How do I contact Health Department?
health_department,en,What does the Health Department do?
health_department,en,Health Department hours
health_department,es,¿Cómo me comunico con Health Department?
health_department,es,¿Qué hace el Health Department?
health_department,es,¿Cuál es el horario de atención del Health Department?
highway_department,en,How do I contact Highway Department?
highway_department,en,What does the Highway Department do?
highway_department,en,Highway Department hours
highway_department,es,¿Cómo me comunico con Highway Department?
highway_department,es,¿Qué hace el Highway Department?
highway_department,es,¿Cuál es el horario de atención del Highway Department?
human_resources_division,en,How do I contact Human Resources Division?
human_resources_division,en,What does the Human Resources Division do?
human_resources_division,en,Human Resources Division hours
human_resources_division,es,¿Cómo me comunico con Human Resources Division?
human_resources_division,es,¿Qué hace el Human Resources Division?
human_resources_division,es,¿Cuál es el horario de atención del Human Resources Division?
information_technology_department_(it),en,How do I contact Information Technology Department (IT)?
information_technology_department_(it),en,What does the Information Technology Department (IT) do?
information_technology_department_(it),en,Information Technology Department (IT) hours
information_technology_department_(it),es,¿Cómo me comunico con Information Technology Department (It)?
information_technology_department_(it),es,¿Qué hace el Information Technology Department (It)?
information_technology_department_(it),es,¿Cuál es el horario de atención del Information Technology Department (It)?
judicial_commission_magistrates,en,How do I contact Judicial Commission Magistrates?
judicial_commission_magistrates,en,What does the Judicial Commission Magistrates do?
judicial_commission_magistrates,en,Judicial Commission Magistrates hours
judicial_commission_magistrates,es,¿Cómo me comunico con Judicial Commission Magistrates?
judicial_commission_magistrates,es,¿Qué hace el Judicial Commission Magistrates?
judicial_commission_magistrates,es,¿Cuál es el horario de atención del Judicial Commission Magistrates?
juvenile_court,en,How do I contact Juvenile Court?
juvenile_court,en,What does the Juvenile Court do?
juvenile_court,en,Juvenile Court hours
juvenile_court,es,¿Cómo me comunico con Juvenile Court?
juvenile_court,es,¿Qué hace el Juvenile Court?
juvenile_court,es,¿Cuál es el horario de atención del Juvenile Court?
juvenile_court_clerk,en,How do I contact Juvenile Court Clerk?
juvenile_court_clerk,en,What does the Juvenile Court Clerk do?
juvenile_court_clerk,en,Juvenile Court Clerk hours
juvenile_court_clerk,es,¿Cómo me comunico con Juvenile Court Clerk?
juvenile_court_clerk,es,¿Qué hace el Juvenile Court Clerk?
juvenile_court_clerk,es,¿Cuál es el horario de atención del Juvenile Court Clerk?
child_support_division,en,How do I contact Child Support Division?
child_support_division,en,What does the Child Support Division do?
child_support_division,en,Child Support Division hours
child_support_division,es,¿Cómo me comunico con Child Support Division?
child_support_division,es,¿Qué hace el Child Support Division?
child_support_division,es,¿Cuál es el horario de atención del Child Support Division?
local_emergency_planning_committee_(lepc),en,How do I contact Local Emergency Planning Committee (LEPC)?
local_emergency_planning_committee_(lepc),en,What does the Local Emergency Planning Committee (LEPC) do?
local_emergency_planning_committee_(lepc),en,Local Emergency Planning Committee (LEPC) hours
local_emergency_planning_committee_(lepc),es,¿Cómo me comunico con Local Emergency Planning Committee (Lepc)?
local_emergency_planning_committee_(lepc),es,¿Qué hace el Local Emergency Planning Committee (Lepc)?
local_emergency_planning_committee_(lepc),es,¿Cuál es el horario de atención del Local Emergency Planning Committee (Lepc)?
magistrates_-_judicial_commission,en,How do I contact Magistrates - Judicial Commission?
magistrates_-_judicial_commission,en,What does the Magistrates - Judicial Commission do?
magistrates_-_judicial_commission,en,Magistrates - Judicial Commission hours
magistrates_-_judicial_commission,es,¿Cómo me comunico con Magistrates - Judicial Commission?
magistrates_-_judicial_commission,es,¿Qué hace el Magistrates - Judicial Commission?
magistrates_-_judicial_commission,es,¿Cuál es el horario de atención del Magistrates - Judicial Commission?
mayor,en,How do I contact Mayor?
mayor,en,What does the Mayor do?
mayor,en,Mayor hours
mayor,es,¿Cómo me comunico con Mayor?
mayor,es,¿Qué hace el Mayor?
mayor,es,¿Cuál es el horario de atención del Mayor?
medical_examiner,en,How do I contact Medical Examiner?
medical_examiner,en,What does the Medical Examiner do?
medical_examiner,en,Medical Examiner hours
medical_examiner,es,¿Cómo me comunico con Medical Examiner?
medical_examiner,es,¿Qué hace el Medical Examiner?
medical_examiner,es,¿Cuál es el horario de atención del Medical Examiner?
mental_health_court,en,How do I contact Mental Health Court?
mental_health_court,en,What does the Mental Health Court do?
mental_health_court,en,Mental Health Court hours
mental_health_court,es,¿Cómo me comunico con Mental Health Court?
mental_health_court,es,¿Qué hace el Mental Health Court?
mental_health_court,es,¿Cuál es el horario de atención del Mental Health Court?
parks_and_recreation,en,How do I contact Parks And Recreation?
parks_and_recreation,en,What does the Parks And Recreation do?
parks_and_recreation,en,Parks And Recreation hours
parks_and_recreation,es,¿Cómo me comunico con Parks And Recreation?
parks_and_recreation,es,¿Qué hace el Parks And Recreation?
parks_and_recreation,es,¿Cuál es el horario de atención del Parks And Recreation?
procurement_and_fleet_management_department,en,How do I contact Procurement And Fleet Management Department?
procurement_and_fleet_management_department,en,What does the Procurement And Fleet Management Department do?
procurement_and_fleet_management_department,en,Procurement And Fleet Management Department hours
procurement_and_fleet_management_department,es,¿Cómo me comunico con Procurement And Fleet Management Department?
procurement_and_fleet_management_department,es,¿Qué hace el Procurement And Fleet Management Department?
procurement_and_fleet_management_department,es,¿Cuál es el horario de atención del Procurement And Fleet Management Department?
public_defender,en,How do I contact Public Defender?
public_defender,en,What does the Public Defender do?
public_defender,en,Public Defender hours
public_defender,es,¿Cómo me comunico con Public Defender?
public_defender,es,¿Qué hace el Public Defender?
public_defender,es,¿Cuál es el horario de atención del Public Defender?
public_works_division,en,How do I contact Public Works Division?
public_works_division,en,What does the Public Works Division do?
public_works_division,en,Public Works Division hours
public_works_division,es,¿Cómo me comunico con Public Works Division?
public_works_division,es,¿Qué hace el Public Works Division?
public_works_division,es,¿Cuál es el horario de atención del Public Works Division?
read_20_program,en,How do I contact Read 20 Program?
read_20_program,en,What does the Read 20 Program do?
read_20_program,en,Read 20 Program hours
read_20_program,es,¿Cómo me comunico con Read 20 Program?
read_20_program,es,¿Qué hace el Read 20 Program?
read_20_program,es,¿Cuál es el horario de atención del Read 20 Program?
real_property_office,en,How do I contact Real Property Office?
real_property_office,en,What does the Real Property Office do?
real_property_office,en,Real Property Office hours
real_property_office,es,¿Cómo me comunico con Real Property Office?
real_property_office,es,¿Qué hace el Real Property Office?
real_property_office,es,¿Cuál es el horario de atención del Real Property Office?
records_management,en,How do I contact Records Management?
records_management,en,What does the Records Management do?
records_management,en,Records Management hours
records_management,es,¿Cómo me comunico con Records Management?
records_management,es,¿Qué hace el Records Management?
records_management,es,¿Cuál es el horario de atención del Records Management?
recycling_department,en,How do I contact Recycling Department?
recycling_department,en,What does the Recycling Department do?
recycling_department,en,Recycling Department hours
recycling_department,es,¿Cómo me comunico con Recycling Department?
recycling_department,es,¿Qué hace el Recycling Department?
recycling_department,es,¿Cuál es el horario de atención del Recycling Department?
register_of_deeds,en,How do I contact Register of Deeds?
register_of_deeds,en,What does the Register of Deeds do?
register_of_deeds,en,Register of Deeds hours
register_of_deeds,es,¿Cómo me comunico con Register Of Deeds?
register_of_deeds,es,¿Qué hace el Register Of Deeds?
register_of_deeds,es,¿Cuál es el horario de atención del Register Of Deeds?
risk_management_office,en,How do I contact Risk Management Office?
risk_management_office,en,What does the Risk Management Office do?
risk_management_office,en,Risk Management Office hours
risk_management_office,es,¿Cómo me comunico con Risk Management Office?
risk_management_office,es,¿Qué hace el Risk Management Office?
risk_management_office,es,¿Cuál es el horario de atención del Risk Management Office?
sessions_civil_court,en,How do I contact Sessions Civil Court?
sessions_civil_court,en,What does the Sessions Civil Court do?
sessions_civil_court,en,Sessions Civil Court hours
sessions_civil_court,es,¿Cómo me comunico con Sessions Civil Court?
sessions_civil_court,es,¿Qué hace el Sessions Civil Court?
sessions_civil_court,es,¿Cuál es el horario de atención del Sessions Civil Court?
sessions_court_judges_office,en,How do I contact Sessions Court Judges Office?
sessions_court_judges_office,en,What does the Sessions Court Judges Office do?
sessions_court_judges_office,en,Sessions Court Judges Office hours
sessions_court_judges_office,es,¿Cómo me comunico con Sessions Court Judges Office?
sessions_court_judges_office,es,¿Qué hace el Sessions Court Judges Office?
sessions_court_judges_office,es,¿Cuál es el horario de atención del Sessions Court Judges Office?
sheriff,en,How do I contact Sheriff?
sheriff,en,What does the Sheriff do?
sheriff,en,Sheriff hours
sheriff,es,¿Cómo me comunico con Sheriff?
sheriff,es,¿Qué hace el Sheriff?
sheriff,es,¿Cuál es el horario de atención del Sheriff?
soil_and_water_conservation_district,en,How do I contact Soil and Water Conservation District?
soil_and_water_conservation_district,en,What does the Soil and Water Conservation District do?
soil_and_water_conservation_district,en,Soil and Water Conservation District hours
soil_and_water_conservation_district,es,¿Cómo me comunico con Soil And Water Conservation District?
soil_and_water_conservation_district,es,¿Qué hace el Soil And Water Conservation District?
soil_and_water_conservation_district,es,¿Cuál es el horario de atención del Soil And Water Conservation District?
support_services,en,How do I contact Support Services?
support_services,en,What does the Support Services do?
support_services,en,Support Services hours
support_services,es,¿Cómo me comunico con Support Services?
support_services,es,¿Qué hace el Support Services?
support_services,es,¿Cuál es el horario de atención del Support Services?
telecommunication_department,en,How do I contact Telecommunication Department?
telecommunication_department,en,What does the Telecommunication Department do?
telecommunication_department,en,Telecommunication Department hours
telecommunication_department,es,¿Cómo me comunico con Telecommunication Department?
telecommunication_department,es,¿Qué hace el Telecommunication Department?
telecommunication_department,es,¿Cuál es el horario de atención del Telecommunication Department?
title_vi_department,en,How do I contact Title VI Department?
title_vi_department,en,What does the Title VI Department do?
title_vi_department,en,Title VI Department hours
title_vi_department,es,¿Cómo me comunico con Title Vi Department?
title_vi_department,es,¿Qué hace el Title Vi Department?
title_vi_department,es,¿Cuál es el horario de atención del Title Vi Department?
tennessee_riverpark,en,How do I contact Tennessee Riverpark?
tennessee_riverpark,en,What does the Tennessee Riverpark do?
tennessee_riverpark,en,Tennessee Riverpark hours
tennessee_riverpark,es,¿Cómo me comunico con Tennessee Riverpark?
tennessee_riverpark,es,¿Qué hace el Tennessee Riverpark?
tennessee_riverpark,es,¿Cuál es el horario de atención del Tennessee Riverpark?
trustee,en,How do I contact Trustee?
trustee,en,What does the Trustee do?
trustee,en,Trustee hours
trustee,es,¿Cómo me comunico con Trustee?
trustee,es,¿Qué hace el Trustee?
trustee,es,¿Cuál es el horario de atención del Trustee?
veteran_services_office,en,How do I contact Veteran Services Office?
veteran_services_office,en,What does the Veteran Services Office do?
veteran_services_office,en,Veteran Services Office hours
veteran_services_office,es,¿Cómo me comunico con Veteran Services Office?
veteran_services_office,es,¿Qué hace el Veteran Services Office?
veteran_services_office,es,¿Cuál es el horario de atención del Veteran Services Office?
water_quality_department,en,How do I contact Water Quality Department?
water_quality_department,en,What does the Water Quality Department do?
water_quality_department,en,Water Quality Department hours
water_quality_department,es,¿Cómo me comunico con Water Quality Department?
water_quality_department,es,¿Qué hace el Water Quality Department?
water_quality_department,es,¿Cuál es el horario de atención del Water Quality Department?
water_and_wastewater_treatment_authority_(wwta),en,How do I contact Water And Wastewater Treatment Authority (WWTA)?
water_and_wastewater_treatment_authority_(wwta),en,What does the Water And Wastewater Treatment Authority (WWTA) do?
water_and_wastewater_treatment_authority_(wwta),en,Water And Wastewater Treatment Authority (WWTA) hours
water_and_wastewater_treatment_authority_(wwta),es,¿Cómo me comunico con Water And Wastewater Treatment Authority (Wwta)?
water_and_wastewater_treatment_authority_(wwta),es,¿Qué hace el Water And Wastewater Treatment Authority (Wwta)?
water_and_wastewater_treatment_authority_(wwta),es,¿Cuál es el horario de atención del Water And Wastewater Treatment Authority (Wwta)?
